occurrence_ordinal	frame	after_source_ordinal	cpu	pc	opcode	start_master_cycle	next_pc	delta_to_next_start	flow	branch_outcome	roles	source
# oracle_sha256=66e5a12ee04d7c227c827d6121e110eb48162b71cae1401a1ebab0da0cb676cc
# native_instructions_sha256=b860dccea2be3c3bae9788fd4621e7fd57311e6c2d9e57ef34a5617222ce23aa
# group_ordinal=1
# selection=lowest authenticated isolated 30-write S1 FM5 group with one B4/pan-field write, terminal key-on, and zero DMA stalls
0	1150	-1	2	0x72C26	0x7000	85370	0x72C28	28	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
1	1150	-1	2	0x72C28	0x101C	85398	0x72C2A	56	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
2	1150	-1	2	0x72C2A	0x1B40	85454	0x72C2E	84	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
3	1150	-1	2	0x72C2E	0x0815	85538	0x72C32	84	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
4	1150	-1	2	0x72C32	0x6600	85622	0x72C36	84	branch	not_taken	control_flow	cfSetVoice@s1.sounddriver.asm:2312-2326
5	1150	-1	2	0x72C36	0x226E	85706	0x72C3A	112	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
6	1150	-1	2	0x72C3A	0x4A2E	85818	0x72C3E	84	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
7	1150	-1	2	0x72C3E	0x670E	85902	0x72C40	56	branch	not_taken	control_flow	cfSetVoice@s1.sounddriver.asm:2312-2326
8	1150	-1	2	0x72C40	0x226D	85958	0x72C44	112	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
9	1150	-1	2	0x72C44	0x4A2E	86070	0x72C48	84	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
10	1150	-1	2	0x72C48	0x6B04	86154	0x72C4E	70	branch	taken	control_flow	cfSetVoice@s1.sounddriver.asm:2312-2326
11	1150	-1	2	0x72C4E	0x5340	86224	0x72C50	42	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
12	1150	-1	2	0x72C50	0x6B0A	86266	0x72C5C	70	branch	taken	control_flow	SetVoice@s1.sounddriver.asm:2328-2375
13	1150	-1	2	0x72C5C	0x1219	86336	0x72C5E	56	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
14	1150	-1	2	0x72C5E	0x1B41	86392	0x72C62	84	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
15	1150	-1	2	0x72C62	0x1801	86476	0x72C64	28	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
16	1150	-1	2	0x72C64	0x103C	86504	0x72C68	56	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
17	1150	-1	2	0x72C68	0x4EBA	86560	0x72722	126	call	target=0x72722	control_flow	SetVoice@s1.sounddriver.asm:2328-2375
18	1150	-1	2	0x72722	0x082D	86686	0x72728	112	linear	n/a	ordinary	WriteFMIorII@s1.sounddriver.asm:1712-1717
19	1150	-1	2	0x72728	0x6630	86798	0x7275A	70	branch	taken	control_flow	WriteFMIorII@s1.sounddriver.asm:1712-1717
20	1150	-1	2	0x7275A	0x142D	86868	0x7275E	84	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
21	1150	-1	2	0x7275E	0x0882	86952	0x72762	84	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
22	1150	-1	2	0x72762	0xD002	87036	0x72764	28	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
23	1150	-1	2	0x72764	0x1439	87064	0x7276A	119	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
