occurrence_ordinal	frame	after_source_ordinal	cpu	pc	opcode	start_master_cycle	next_pc	delta_to_next_start	flow	branch_outcome	roles	source
0	978	-1	2	0x72C26	0x7000	157184	0x72C28	28	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
1	978	-1	2	0x72C28	0x101C	157212	0x72C2A	56	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
2	978	-1	2	0x72C2A	0x1B40	157268	0x72C2E	84	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
3	978	-1	2	0x72C2E	0x0815	157352	0x72C32	84	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
4	978	-1	2	0x72C32	0x6600	157436	0x72C36	84	branch	not_taken	control_flow	cfSetVoice@s1.sounddriver.asm:2312-2326
5	978	-1	2	0x72C36	0x226E	157520	0x72C3A	112	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
6	978	-1	2	0x72C3A	0x4A2E	157632	0x72C3E	84	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
7	978	-1	2	0x72C3E	0x670E	157716	0x72C40	56	branch	not_taken	control_flow	cfSetVoice@s1.sounddriver.asm:2312-2326
8	978	-1	2	0x72C40	0x226D	157772	0x72C44	112	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
9	978	-1	2	0x72C44	0x4A2E	157884	0x72C48	84	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
10	978	-1	2	0x72C48	0x6B04	157968	0x72C4E	70	branch	taken	control_flow	cfSetVoice@s1.sounddriver.asm:2312-2326
11	978	-1	2	0x72C4E	0x5340	158038	0x72C50	42	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
12	978	-1	2	0x72C50	0x6B0A	158080	0x72C5C	70	branch	taken	control_flow	SetVoice@s1.sounddriver.asm:2328-2375
13	978	-1	2	0x72C5C	0x1219	158150	0x72C5E	56	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
14	978	-1	2	0x72C5E	0x1B41	158206	0x72C62	84	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
