bk2_frame,seg_frame,djf,anim,x,y,status
7140,139,0x01,0x20,0x2914,0x023E,0x02
7141,140,0x01,0x20,0x2919,0x023F,0x02
7142,141,0x01,0x20,0x291E,0x0240,0x02
7143,142,0x01,0x20,0x2924,0x0240,0x02
7144,143,0x01,0x20,0x2929,0x0241,0x02
7145,144,0x01,0x20,0x292F,0x0241,0x02
7146,145,0x01,0x20,0x2934,0x0242,0x02
7147,146,0x01,0x20,0x2939,0x0242,0x02
7148,147,0x01,0x20,0x293F,0x0243,0x02
7149,148,0x01,0x20,0x2944,0x0243,0x02
7150,149,0x01,0x20,0x294A,0x0244,0x02
7151,150,0x01,0x20,0x294F,0x0244,0x02
7152,151,0x01,0x20,0x2955,0x0245,0x02
7153,152,0x01,0x20,0x295A,0x0245,0x02
7154,153,0x01,0x20,0x2960,0x0246,0x02
7155,154,0x01,0x20,0x2965,0x0247,0x02
7156,155,0x01,0x20,0x296B,0x0247,0x02
7157,156,0x01,0x20,0x2970,0x0248,0x02
7158,157,0x01,0x20,0x2976,0x0248,0x02
7159,158,0x01,0x20,0x297B,0x0249,0x02
7160,159,0x01,0x20,0x2981,0x0249,0x02
7161,160,0x01,0x20,0x2987,0x024A,0x02
7162,161,0x01,0x20,0x298C,0x024A,0x02
7163,162,0x01,0x20,0x2992,0x024B,0x02
7164,163,0x01,0x20,0x2998,0x024B,0x02
7165,164,0x01,0x20,0x299D,0x024C,0x02
7166,165,0x01,0x20,0x29A3,0x024C,0x02
7167,166,0x01,0x20,0x29A9,0x024D,0x02
7168,167,0x01,0x20,0x29AE,0x024D,0x02
7169,168,0x01,0x20,0x29B4,0x024E,0x02
7170,169,0x01,0x20,0x29BA,0x024E,0x02
7171,170,0x01,0x20,0x29C0,0x024F,0x02
7172,171,0x01,0x20,0x29C6,0x024F,0x02
7173,172,0x01,0x20,0x29CB,0x0250,0x02
7174,173,0x01,0x20,0x29D1,0x0251,0x02
7175,174,0x01,0x20,0x29D7,0x0251,0x02
7176,175,0x01,0x20,0x29DD,0x0252,0x02
7177,176,0x01,0x20,0x29E3,0x0252,0x02
7178,177,0x01,0x20,0x29E9,0x0253,0x02
7179,178,0x01,0x20,0x29EF,0x0253,0x02
7180,179,0x01,0x20,0x29F4,0x0254,0x02
7181,180,0x01,0x20,0x29FA,0x0254,0x02
7182,181,0x01,0x20,0x2A00,0x0255,0x02
7183,182,0x01,0x20,0x2A06,0x0255,0x02
7184,183,0x01,0x20,0x2A0C,0x0256,0x02
7185,184,0x01,0x20,0x2A12,0x0256,0x02
7186,185,0x01,0x20,0x2A18,0x0257,0x02
7187,186,0x01,0x20,0x2A1E,0x0258,0x02
7188,187,0x00,0x00,0x2A24,0x0252,0x08
7189,188,0x00,0x00,0x2A2A,0x024A,0x08
7190,189,0x00,0x00,0x2A30,0x024A,0x08
7191,190,0x00,0x00,0x2A36,0x024A,0x08
7192,191,0x00,0x00,0x2A3C,0x024A,0x08
7193,192,0x00,0x00,0x2A42,0x024A,0x08
7194,193,0x00,0x00,0x2A48,0x024B,0x08
7195,194,0x00,0x00,0x2A4D,0x024B,0x08
7196,195,0x00,0x00,0x2A53,0x024B,0x08
7197,196,0x00,0x00,0x2A59,0x024B,0x08
7198,197,0x00,0x00,0x2A5E,0x024C,0x08
7199,198,0x00,0x00,0x2A64,0x024C,0x02
7200,199,0x00,0x00,0x2A69,0x024C,0x02
