== frame rows: F,<bk2>,slot8_code,slot8_status,slot8_x,slot8_y,p1_x,p1_y
== hook rows:  H,<bk2>,<which>,a0,objx,objy
F,7220,0x0001B588,0x00,0x2B38,0x02D3,0x2AD8,0x027A
F,7221,0x0001B588,0x00,0x2B38,0x02D3,0x2ADE,0x027F
F,7222,0x0001B588,0x00,0x2B38,0x02D3,0x2AE3,0x0283
F,7223,0x0001B588,0x00,0x2B38,0x02D3,0x2AE9,0x0288
F,7224,0x0001B588,0x00,0x2B38,0x02D3,0x2AEE,0x028E
F,7225,0x0001B588,0x00,0x2B38,0x02D3,0x2AF4,0x0293
F,7226,0x0001B588,0x00,0x2B38,0x02D3,0x2AF9,0x0299
F,7227,0x0001B588,0x00,0x2B38,0x02D3,0x2AFF,0x029F
F,7228,0x0001B588,0x00,0x2B38,0x02D3,0x2B04,0x02A5
F,7229,0x0001B588,0x00,0x2B38,0x02D3,0x2B0A,0x02AB
F,7230,0x0001B588,0x00,0x2B38,0x02D3,0x2B0F,0x02B2
F,7231,0x0001B588,0x00,0x2B38,0x02D3,0x2B15,0x02B8
F,7232,0x0001B588,0x00,0x2B38,0x02D3,0x2B1A,0x02BF
F,7233,0x0001B588,0x00,0x2B38,0x02D3,0x2B20,0x02C7
F,7234,0x0001B588,0x00,0x2B38,0x02D3,0x2B25,0x02CC
F,7235,0x0001B588,0x00,0x2B38,0x02D3,0x2B2B,0x02CC
F,7236,0x0001B588,0x00,0x2B38,0x02D3,0x2B30,0x02CC
F,7237,0x0001B588,0x00,0x2B38,0x02D3,0x2B36,0x02CC
F,7238,0x0001B588,0x00,0x2B38,0x02D3,0x2B3B,0x02CC
F,7239,0x0001B588,0x00,0x2B38,0x02D3,0x2B40,0x02CC
F,7240,0x0001B588,0x00,0x2B38,0x02D3,0x2B46,0x02CC
F,7241,0x0001B588,0x00,0x2B38,0x02D3,0x2B4B,0x02CC
F,7242,0x0001B588,0x00,0x2B38,0x02D3,0x2B50,0x02CC
F,7243,0x0001B588,0x00,0x2B38,0x02D3,0x2B55,0x02CC
F,7244,0x0001B588,0x00,0x2B38,0x02D3,0x2B5A,0x02CC
F,7245,0x0001B588,0x00,0x2B38,0x02D3,0x2B5F,0x02CC
